Voxel_X,Voxel_Y,Voxel_Z,Association_Value
-6.0,-46.0,-4.0,4.5097384861168255
-38.0,22.0,-38.0,4.512328012820651
-18.0,14.0,-14.0,4.516971805669226
2.0,16.0,-12.0,4.516971805669226
24.0,44.0,6.0,4.530418800823994
-2.0,10.0,-16.0,4.541047896501503
16.0,2.0,-34.0,4.563133509176647
-52.0,-48.0,-36.0,4.563133509176647
-24.0,18.0,-40.0,4.563133509176647
-22.0,18.0,-34.0,4.563133509176647
-22.0,18.0,-36.0,4.563133509176647
-52.0,-46.0,-34.0,4.563133509176647
-14.0,8.0,-32.0,4.563133509176647
-28.0,-52.0,16.0,4.586702419794821
-36.0,20.0,-36.0,4.586702419794821
-10.0,-16.0,-26.0,4.586702419794821
-18.0,4.0,-32.0,4.586702419794821
2.0,18.0,-10.0,4.593496796162317
-6.0,-10.0,-40.0,4.600489225268138
-12.0,8.0,-36.0,4.600489225268138
-6.0,-52.0,-60.0,4.600489225268138
-2.0,-8.0,-38.0,4.600489225268138
-10.0,8.0,-32.0,4.600489225268138
-12.0,-12.0,-40.0,4.600489225268138
-6.0,-50.0,-60.0,4.600489225268138
-10.0,8.0,-34.0,4.600489225268138
-12.0,6.0,-36.0,4.600489225268138
-12.0,4.0,-36.0,4.600489225268138
-10.0,6.0,-34.0,4.600489225268138
4.0,18.0,-12.0,4.602410318698948
-34.0,22.0,-38.0,4.603266420779043
-36.0,22.0,-38.0,4.603266420779043
-28.0,34.0,12.0,4.604868811605318
0.0,22.0,-10.0,4.612063461543476
22.0,28.0,-18.0,4.622353833622666
20.0,50.0,2.0,4.637399252274629
16.0,-2.0,-10.0,4.639490213494571
-18.0,6.0,-30.0,4.646032832526267
38.0,38.0,-6.0,4.668484609906986
20.0,44.0,4.0,4.670356173268475
-16.0,8.0,-16.0,4.687536923679306
-38.0,-20.0,-36.0,4.698403593205726
-6.0,-54.0,-54.0,4.698403593205726
16.0,70.0,12.0,4.699596037197737
-38.0,22.0,-36.0,4.706988256258402
-30.0,-52.0,18.0,4.706988256258402
36.0,38.0,-4.0,4.726018501115268
16.0,70.0,8.0,4.743842167263409
-26.0,36.0,12.0,4.743842167263409
16.0,70.0,10.0,4.743842167263409
-16.0,4.0,-36.0,4.751229552597649
-10.0,6.0,-28.0,4.751229552597649
-8.0,-48.0,-56.0,4.751229552597649
-50.0,-46.0,-36.0,4.751229552597649
-14.0,2.0,-34.0,4.751229552597649
-16.0,-2.0,-38.0,4.751229552597649
18.0,44.0,4.0,4.756731269632036
-10.0,-14.0,-26.0,4.769649731342426
10.0,28.0,8.0,4.771890518745415
20.0,50.0,10.0,4.784439489351941
-18.0,10.0,-18.0,4.784439489351941
-40.0,22.0,-38.0,4.798093205711519
-28.0,-52.0,18.0,4.834104131666257
18.0,42.0,4.0,4.8407314607875955
-36.0,22.0,-32.0,4.881698080002336
-18.0,10.0,-14.0,4.893021754521068
-30.0,36.0,12.0,4.89822895327456
-4.0,-58.0,6.0,4.905724493842363
-30.0,34.0,14.0,4.956980005523011
-12.0,6.0,-30.0,4.959574165101846
-14.0,2.0,-36.0,4.959574165101846
-8.0,-50.0,-56.0,4.959574165101846
-16.0,2.0,-40.0,4.959574165101846
-16.0,-2.0,-40.0,4.959574165101846
18.0,70.0,10.0,4.978171581022541
24.0,50.0,6.0,4.986841378076327
28.0,34.0,-22.0,4.987983231673899
-18.0,4.0,-36.0,5.012769359289092
0.0,18.0,-16.0,5.017035417359796
-36.0,20.0,-34.0,5.027878926102276
36.0,38.0,-8.0,5.114729053511515
-18.0,2.0,-32.0,5.1304186445618125
0.0,8.0,-16.0,5.142826573559045
34.0,40.0,-4.0,5.151754528435885
24.0,50.0,8.0,5.178232252463509
-38.0,22.0,-34.0,5.1833305042148154
-18.0,2.0,-34.0,5.186794515883575
-36.0,22.0,-36.0,5.186794515883575
-4.0,-54.0,-56.0,5.19226036127696
-16.0,2.0,-38.0,5.19226036127696
-16.0,-4.0,-36.0,5.19226036127696
-8.0,-46.0,-56.0,5.19226036127696
-10.0,8.0,-28.0,5.19226036127696
38.0,38.0,-4.0,5.19230773010518
-18.0,12.0,-18.0,5.205581742623384
-52.0,-48.0,-32.0,5.251135134654134
-8.0,-54.0,-54.0,5.251135134654134
-18.0,8.0,-16.0,5.251788109705691
38.0,40.0,-6.0,5.254925989417948
-6.0,-44.0,-6.0,5.307439473598529
-28.0,36.0,12.0,5.307439473598529
-4.0,-8.0,-38.0,5.372686824676224
-10.0,-8.0,-38.0,5.372686824676224
-8.0,-10.0,-38.0,5.372686824676224
-6.0,-8.0,-36.0,5.372686824676224
-10.0,-10.0,-40.0,5.372686824676224
-4.0,-8.0,-36.0,5.372686824676224
-2.0,-8.0,-40.0,5.372686824676224
-10.0,2.0,-34.0,5.372686824676224
-10.0,4.0,-34.0,5.372686824676224
-8.0,-48.0,-60.0,5.372686824676224
-4.0,-50.0,-62.0,5.372686824676224
16.0,72.0,10.0,5.427141665425585
16.0,72.0,8.0,5.427141665425585
22.0,50.0,10.0,5.428157610995448
-14.0,0.0,-36.0,5.454650416411837
-22.0,18.0,-38.0,5.454650416411837
-16.0,0.0,-38.0,5.454650416411837
-40.0,-20.0,-36.0,5.518168980867474
-16.0,2.0,-34.0,5.518168980867474
-18.0,8.0,-14.0,5.54085960193702
-18.0,12.0,-16.0,5.546386161418802
-40.0,22.0,-34.0,5.58868522499318
16.0,72.0,12.0,5.601884612065053
36.0,38.0,-6.0,5.611976226419109
-8.0,-54.0,-56.0,5.664415650099412
18.0,72.0,8.0,5.694183206057081
-4.0,-56.0,-56.0,5.75393269772021
-12.0,8.0,-30.0,5.75393269772021
-12.0,10.0,-30.0,5.75393269772021
-16.0,0.0,-40.0,5.75393269772021
-38.0,24.0,-36.0,5.993602158512822
-10.0,8.0,-30.0,6.100009869269381
-22.0,18.0,-40.0,6.100009869269381
-10.0,6.0,-30.0,6.100009869269381
-16.0,10.0,-16.0,6.129217745388262
-18.0,10.0,-16.0,6.222404788793624
-30.0,34.0,12.0,6.260039421619142
-10.0,10.0,-30.0,6.506980142069667
-16.0,2.0,-36.0,6.5702014088102185
-10.0,6.0,-36.0,6.654261863411151
-4.0,-8.0,-40.0,6.654261863411151
-6.0,-10.0,-38.0,6.654261863411151
-8.0,-8.0,-36.0,6.654261863411151
-8.0,-10.0,-40.0,6.654261863411151
-6.0,-8.0,-38.0,6.654261863411151
-10.0,-10.0,-38.0,6.654261863411151
-10.0,4.0,-36.0,6.654261863411151
-8.0,-8.0,-38.0,9.515320915644816
-8.0,6.0,-32.0,9.515320915644816
