Voxel_X,Voxel_Y,Voxel_Z,Uniformity_Value,Association_Value
66.0,-50.0,16.0,3.6534850308353284,0.0
66.0,-48.0,12.0,3.6534850308353284,0.0
66.0,-48.0,14.0,3.6534850308353284,0.0
66.0,-48.0,16.0,3.6534850308353284,0.0
66.0,-46.0,14.0,3.6534850308353284,0.0
66.0,-46.0,16.0,3.6534850308353284,0.0
66.0,-44.0,14.0,3.6534850308353284,0.0
66.0,-28.0,-8.0,3.6534850308353284,0.0
64.0,-48.0,14.0,3.6534850308353284,0.0
64.0,-48.0,16.0,4.46881300427029,0.0
64.0,-46.0,14.0,3.6534850308353284,0.0
64.0,-46.0,16.0,4.46881300427029,0.0
64.0,-44.0,14.0,4.46881300427029,0.0
64.0,-44.0,16.0,3.6534850308353284,0.0
64.0,-30.0,-8.0,3.6534850308353284,0.0
64.0,-28.0,-8.0,3.6534850308353284,0.0
64.0,-26.0,-8.0,3.6534850308353284,0.0
64.0,-24.0,-8.0,3.6534850308353284,0.0
64.0,-22.0,-8.0,3.6534850308353284,0.0
62.0,-50.0,12.0,3.6534850308353284,0.0
62.0,-50.0,16.0,3.6534850308353284,0.0
62.0,-48.0,16.0,4.46881300427029,0.0
62.0,-48.0,18.0,3.6534850308353284,0.0
62.0,-46.0,12.0,4.46881300427029,0.0
62.0,-46.0,14.0,3.6534850308353284,0.0
62.0,-46.0,16.0,4.46881300427029,0.0
62.0,-44.0,16.0,3.6534850308353284,0.0
62.0,-30.0,-8.0,3.6534850308353284,0.0
62.0,-28.0,-10.0,3.6534850308353284,0.0
62.0,-28.0,-8.0,3.6534850308353284,0.0
62.0,-26.0,-12.0,3.6534850308353284,0.0
62.0,-26.0,-10.0,4.46881300427029,0.0
62.0,-26.0,-8.0,5.284140977705252,0.0
62.0,-26.0,-6.0,3.6534850308353284,0.0
62.0,-24.0,-12.0,5.284140977705252,0.0
62.0,-24.0,-10.0,4.46881300427029,0.0
62.0,-24.0,-8.0,5.284140977705252,0.0
62.0,-24.0,-6.0,3.6534850308353284,0.0
62.0,-22.0,-10.0,3.6534850308353284,0.0
62.0,-22.0,-8.0,3.6534850308353284,0.0
60.0,-52.0,12.0,4.46881300427029,0.0
60.0,-52.0,14.0,3.6534850308353284,0.0
60.0,-52.0,16.0,3.6534850308353284,0.0
60.0,-50.0,12.0,4.46881300427029,0.0
60.0,-50.0,14.0,3.6534850308353284,0.0
60.0,-50.0,16.0,4.46881300427029,0.0
60.0,-50.0,20.0,3.6534850308353284,0.0
60.0,-50.0,24.0,4.46881300427029,0.0
60.0,-48.0,10.0,3.6534850308353284,0.0
60.0,-48.0,12.0,5.284140977705252,0.0
60.0,-48.0,14.0,4.46881300427029,0.0
60.0,-48.0,16.0,6.099468951140214,0.0
60.0,-48.0,18.0,3.6534850308353284,0.0
60.0,-46.0,8.0,3.6534850308353284,0.0
60.0,-46.0,10.0,4.46881300427029,0.0
60.0,-46.0,12.0,5.284140977705252,0.0
60.0,-46.0,14.0,4.46881300427029,0.0
60.0,-46.0,16.0,5.284140977705252,0.0
60.0,-44.0,8.0,4.46881300427029,0.0
60.0,-44.0,10.0,4.46881300427029,0.0
60.0,-44.0,12.0,4.46881300427029,0.0
60.0,-44.0,14.0,4.46881300427029,0.0
60.0,-44.0,16.0,3.6534850308353284,0.0
60.0,-26.0,-12.0,3.6534850308353284,0.0
60.0,-26.0,-10.0,3.6534850308353284,0.0
60.0,-26.0,-8.0,5.284140977705252,0.0
60.0,-24.0,-10.0,3.6534850308353284,0.0
60.0,-24.0,-8.0,4.46881300427029,0.0
60.0,-10.0,-16.0,3.6534850308353284,0.0
60.0,-8.0,-16.0,3.6534850308353284,0.0
58.0,-52.0,16.0,3.6534850308353284,0.0
58.0,-52.0,20.0,3.6534850308353284,0.0
58.0,-52.0,24.0,3.6534850308353284,0.0
58.0,-50.0,10.0,3.6534850308353284,0.0
58.0,-50.0,12.0,4.46881300427029,0.0
58.0,-50.0,14.0,3.6534850308353284,0.0
58.0,-50.0,16.0,5.284140977705252,0.0
58.0,-50.0,20.0,5.284140977705252,0.0
58.0,-50.0,22.0,4.46881300427029,0.0
58.0,-50.0,24.0,5.284140977705252,0.0
58.0,-50.0,28.0,3.6534850308353284,0.0
58.0,-48.0,8.0,3.6534850308353284,0.0
58.0,-48.0,10.0,3.6534850308353284,0.0
58.0,-48.0,12.0,5.284140977705252,0.0
58.0,-48.0,14.0,5.284140977705252,0.0
58.0,-48.0,16.0,6.099468951140214,0.0
58.0,-48.0,20.0,4.46881300427029,0.0
58.0,-48.0,24.0,5.284140977705252,0.0
58.0,-46.0,8.0,5.284140977705252,0.0
58.0,-46.0,10.0,6.099468951140214,0.0
58.0,-46.0,12.0,6.9147969245751755,0.0
58.0,-46.0,14.0,6.099468951140214,0.0
58.0,-46.0,16.0,5.284140977705252,0.0
58.0,-46.0,18.0,3.6534850308353284,0.0
58.0,-46.0,20.0,3.6534850308353284,0.0
58.0,-46.0,26.0,3.6534850308353284,0.0
58.0,-44.0,8.0,3.6534850308353284,0.0
58.0,-44.0,10.0,5.284140977705252,0.0
58.0,-44.0,12.0,5.284140977705252,0.0
58.0,-44.0,14.0,4.46881300427029,0.0
58.0,-44.0,16.0,3.6534850308353284,0.0
58.0,-42.0,8.0,3.6534850308353284,0.0
58.0,-42.0,10.0,4.46881300427029,0.0
58.0,-42.0,12.0,4.46881300427029,0.0
58.0,-28.0,-8.0,3.6534850308353284,0.0
58.0,-26.0,-14.0,3.6534850308353284,0.0
58.0,-22.0,-12.0,3.6534850308353284,0.0
58.0,-14.0,-20.0,3.6534850308353284,0.0
58.0,-14.0,-18.0,3.6534850308353284,0.0
58.0,-14.0,-16.0,3.6534850308353284,0.0
58.0,-12.0,-20.0,3.6534850308353284,0.0
58.0,-12.0,-16.0,4.46881300427029,0.0
58.0,-12.0,-14.0,3.6534850308353284,0.0
58.0,-10.0,-18.0,3.6534850308353284,0.0
58.0,-10.0,-16.0,4.46881300427029,0.0
58.0,-10.0,-14.0,3.6534850308353284,0.0
58.0,-8.0,-18.0,3.6534850308353284,0.0
58.0,-8.0,-16.0,5.284140977705252,0.0
58.0,-8.0,-14.0,3.6534850308353284,0.0
58.0,-6.0,-16.0,3.6534850308353284,0.0
58.0,22.0,28.0,3.6534850308353284,0.0
56.0,-56.0,28.0,3.6534850308353284,0.0
56.0,-54.0,16.0,3.6534850308353284,0.0
56.0,-54.0,20.0,3.6534850308353284,0.0
56.0,-52.0,12.0,3.6534850308353284,0.0
56.0,-50.0,12.0,3.6534850308353284,0.0
56.0,-50.0,16.0,3.6534850308353284,0.0
56.0,-50.0,20.0,5.284140977705252,0.0
56.0,-50.0,22.0,3.6534850308353284,0.0
56.0,-50.0,24.0,4.46881300427029,0.0
56.0,-50.0,28.0,3.6534850308353284,0.0
56.0,-48.0,10.0,4.46881300427029,0.0
56.0,-48.0,12.0,5.284140977705252,0.0
56.0,-48.0,14.0,3.6534850308353284,0.0
56.0,-48.0,16.0,5.284140977705252,0.0
56.0,-48.0,20.0,3.6534850308353284,0.0
56.0,-48.0,24.0,3.6534850308353284,0.0
56.0,-46.0,6.0,3.6534850308353284,0.0
56.0,-46.0,8.0,4.46881300427029,0.0
56.0,-46.0,10.0,5.284140977705252,0.0
56.0,-46.0,12.0,5.284140977705252,0.0
56.0,-46.0,14.0,3.6534850308353284,0.0
56.0,-46.0,16.0,3.6534850308353284,0.0
56.0,-46.0,18.0,3.6534850308353284,0.0
56.0,-46.0,28.0,3.6534850308353284,0.0
56.0,-44.0,8.0,3.6534850308353284,0.0
56.0,-44.0,10.0,4.46881300427029,0.0
56.0,-44.0,12.0,4.46881300427029,0.0
